num,name,manufacturer,speed,glide,turn,fade,type
1,envy,axiom,3,3,0,2,putter
2,hex,axiom,5,5,-1,1,mid
3,insanity,axiom,9,5,-1,1,distance
4,mayhem,axiom,13,5,-1.5,2,distance
5,panic,axiom,13,4,-0.5,3,distance
6,paradox,axiom,5,4,-4,0,mid
7,proxy,axiom,3,3,-1,0.5,putter
8,astronaut,discmania,12,6,-4,1,distance
9,cd,discmania,10,5,-1,2,distance
10,cd2,discmania,9,5,-1,2,distance
11,cd3,discmania,12,5,-1,3,distance
12,dd3,discmania,12,5,-1,3,distance
13,ddx,discmania,12,6,-1,2,distance
14,enigma,discmania,12,5,-1,2,distance
15,essence,discmania,8,6,-2,1,fairway
16,fd,discmania,7,6,0,1,fairway
17,fd2,discmania,7,4,0,2,fairway
18,fd3,discmania,9,4,0,3,distance
19,genius,discmania,7,5,-4,1,fairway
20,instinct,discmania,7,5,0,2,fairway
21,logic,discmania,3,3,0,1,putter
22,maestro,discmania,4,3,0,2,mid
23,magician,discmania,6,4,0,2,fairway
24,majesty,discmania,13,5,-2,2,distance
25,md,discmania,4,5,0,0,mid
26,md1,discmania,5,6,0,0,mid
27,md3,discmania,5,5,0,1,mid
28,md4,discmania,5,4,0,4,mid
29,md5,discmania,5,3,0,4,mid
30,mentor,discmania,11,5,-2,2,distance
31,method,discmania,5,5,0,4,mid
32,mutant,discmania,5,3,0,4,mid
33,origin,discmania,5,5,-1,1,mid
34,p2,discmania,2,3,0,1,putter
35,p3x,discmania,3,2,0,3,putter
36,pd,discmania,10,4,0,3,distance
37,pd2,discmania,12,4,0,4,distance
38,pd2,discmania,12,4,0,4,distance
39,pd3,discmania,11,3,0,5,distance
40,rainmaker,discmania,2,3,0,0.5,putter
41,razor claw,discmania,4,2,0,4,mid
42,rockstar,discmania,8,5,-2,1,fairway
43,splice,discmania,9,3,0,4,distance
44,tactic,discmania,4,2,0,3,mid
45,td,discmania,10,5,-2,1,distance
46,tilt,discmania,9,1,1,6,distance
47,anax,discraft,10,6,0,3,distance
48,avenger,discraft,10,5,0,3,distance
49,avenger ss,discraft,10,5,-3,1,distance
50,buzzz,discraft,5,4,-1,1,mid
51,buzzz os,discraft,5,4,0,3,mid
52,buzzz ss,discraft,5,4,-2,1,mid
53,captains raptor,discraft,9,3,1,4,distance
54,comet,discraft,4,5,-2,1,mid
55,crank,discraft,13,5,-2,2,distance
56,drone,discraft,5,3,1,4,mid
57,fierce,discraft,3,4,-2,0,putter
58,force,discraft,12,5,0,3,distance
59,hades,discraft,12,6,-3,2,distance
60,heat,discraft,9,6,-3,1,distance
61,luna,discraft,3,3,0,3,putter
62,machete,discraft,11,4,0,4,distance
63,malta,discraft,5,4,1,3,mid
64,mantis,discraft,8,4,-2,2,fairway
65,meteor,discraft,5,5,-3,1,mid
66,nuke,discraft,13,5,-1,3,distance
67,nuke os,discraft,13,4,0,4,distance
68,nuke ss,discraft,13,5,-3,3,distance
69,passion,discraft,8,5,-1,1,fairway
70,predator,discraft,9,4,1,4,distance
71,raptor,discraft,9,4,0,3,distance
72,roach,discraft,2,4,0,1,putter
73,scorch,discraft,11,6,-2,2,distance
74,sol,discraft,4,5,-3,0,mid
75,stalker,discraft,7,5,-1,2,fairway
76,thrasher,discraft,12,5,-3,2,distance
77,undertaker,discraft,9,5,-1,2,distance
78,vulture,discraft,10,5,0,2,distance
79,wasp,discraft,5,3,0,2,mid
80,zeus,discraft,12,5,-1,3,distance
81,zombee,discraft,6,5,-1,1,fairway
82,zone,discraft,4,3,0,3,mid
83,deputy,dynamic,3,4,-1.5,0,putter
84,emac truth,dynamic,5,5,0,2,mid
85,felon,dynamic,9,3,0,4,distance
86,judge,dynamic,2,4,0,1,putter
87,justice,dynamic,5,1,0.5,4,mid
88,raider,dynamic,13,5,-0.5,3,distance
89,truth,dynamic,5,5,-1,1,mid
90,vandal,dynamic,9,5,-1.5,2,distance
91,warden,dynamic,2,4,0,0.5,putter
92,aviar,innova,2,3,0,1,putter
93,aviar3,innova,3,2,0,2,putter
94,aviarx3,innova,3,2,0,3,putter
95,beast,innova,10,5,-2,2,distance
96,colt,innova,3,4,-1,1,putter
97,corvette,innova,14,6,-1,2,distance
98,dart,innova,3,4,0,0,putter
99,destroyer,innova,12,5,-1,3,distance
100,eagle,innova,7,4,-1,3,fairway
