num,name,manufacturer,speed,glide,turn,fade,type
1,envy,axiom,3,3,0,2,putter
2,hex,axiom,5,5,-1,1,mid
3,insanity,axiom,9,5,-1,1,distance
4,mayhem,axiom,13,5,-1.5,2,distance
5,panic,axiom,13,4,-0.5,3,distance
6,paradox,axiom,5,4,-4,0,mid
7,proxy,axiom,3,3,-1,0.5,putter
8,essence,discmania,8,6,-2,1,fairway
9,p2,discmania,2,3,0,1,putter
10,tilt,discmania,9,1,1,6,distance
11,anax,discraft,10,6,0,3,distance
12,avenger,discraft,10,5,0,3,distance
13,avenger ss,discraft,10,5,-3,1,distance
14,buzzz,discraft,5,4,-1,1,mid
15,buzzz os,discraft,5,4,0,3,mid
16,buzzz ss,discraft,5,4,-2,1,mid
17,captains raptor,discraft,9,3,1,4,distance
18,comet,discraft,4,5,-2,1,mid
19,crank,discraft,13,5,-2,2,distance
20,drone,discraft,5,3,1,4,mid
21,fierce,discraft,3,4,-2,0,putter
22,force,discraft,12,5,0,3,distance
23,hades,discraft,12,6,-3,2,distance
24,heat,discraft,9,6,-3,1,distance
25,luna,discraft,3,3,0,3,putter
26,machete,discraft,11,4,0,4,distance
27,malta,discraft,5,4,1,3,mid
28,mantis,discraft,8,4,-2,2,fairway
29,meteor,discraft,5,5,-3,1,mid
30,nuke,discraft,13,5,-1,3,distance
31,nuke os,discraft,13,4,0,4,distance
32,nuke ss,discraft,13,5,-3,3,distance
33,passion,discraft,8,5,-1,1,fairway
34,predator,discraft,9,4,1,4,distance
35,raptor,discraft,9,4,0,3,distance
36,roach,discraft,2,4,0,1,putter
37,scorch,discraft,11,6,-2,2,distance
38,sol,discraft,4,5,-3,0,mid
39,stalker,discraft,7,5,-1,2,fairway
40,thrasher,discraft,12,5,-3,2,distance
41,undertaker,discraft,9,5,-1,2,distance
42,vulture,discraft,10,5,0,2,distance
43,wasp,discraft,5,3,0,2,mid
44,zeus,discraft,12,5,-1,3,distance
45,zombee,discraft,6,5,-1,1,fairway
46,zone,discraft,4,3,0,3,mid
47,aviar,innova,2,3,0,1,putter
48,aviar3,innova,3,2,0,2,putter
49,aviarx3,innova,3,2,0,3,putter
50,beast,innova,10,5,-2,2,distance
51,colt,innova,3,4,-1,1,putter
52,corvette,innova,14,6,-1,2,distance
53,dart,innova,3,4,0,0,putter
54,destroyer,innova,12,5,-1,3,distance
55,eagle,innova,7,4,-1,3,fairway
56,firebird,innova,9,3,0,4,distance
57,gator,innova,5,2,0,4,mid
58,groove,innova,12,6,-2,2,distance
59,invader,innova,3,2,0,1,putter
60,katana,innova,12,5,-3,3,distance
61,kc aviar,innova,2,3,0,2,putter
62,leopard,innova,6,5,-2,1,fairway
63,leopard3,innova,7,5,-2,1,fairway
64,lion,innova,5,4,0,2,mid
65,mako,innova,4,5,0,0,mid
66,mako3,innova,5,5,0,0,mid
67,nova,innova,2,3,0,0,putter
68,pig,innova,3,1,0,3,putter
69,polecat,innova,1,3,0,0,putter
70,rhyno,innova,2,1,0,3,putter
71,roadrunner,innova,9,5,-4,1,distance
72,roc,innova,4,4,0,3,mid
73,roc3,innova,5,4,0,3,mid
74,shark,innova,4,4,0,2,mid
75,shryke,innova,13,6,-2,2,distance
76,sidewinder,innova,9,5,-3,1,distance
77,teebird,innova,7,5,0,2,fairway
78,teebird3,innova,8,4,0,2,fairway
79,tern,innova,12,6,-3,2,distance
80,thunderbird,innova,9,5,0,2,distance
81,tl,innova,7,5,-1,1,fairway
82,tl3,innova,8,4,-1,1,fairway
83,valkyrie,innova,9,4,-2,2,distance
84,wraith,innova,11,5,-1,3,distance
85,xcaliber,innova,12,5,0,4,distance
86,yeti aviar,innova,2,3,0,1,putter
87,berg,kastaplast,1,1,0,2,putter
88,gote,kastaplast,4,5,0,1,mid
89,grym,kastaplast,13,5,-1,2,distance
90,kaxe,kastaplast,6,4,0,3,fairway
91,rask,kastaplast,14,3,0,4,distance
92,reko,kastaplast,3,3,0,1,putter
93,svea,kastaplast,5,6,-1,0,mid
94,entropy,mvp,4,3,0,3,mid
95,ion,mvp,2.5,3,0,1.5,putter
96,nitro,mvp,13,4,-0.5,3,distance
97,nomad,mvp,2,4,0,1,putter
98,photon,mvp,11,5,-1.5,2.5,distance
99,reactor,mvp,5,5,-0.5,1.5,mid
100,signal,mvp,6,5,-3,1,fairway
101,volt,mvp,8,5,-0.5,2,fairway
102,wave,mvp,11,5,-2,2,distance
