num,name,manufacturer,speed,glide,turn,fade,type
1,polecat,innova,1,3,0,0,putter
2,nova,innova,2,3,0,0,putter
3,aviar,innova,2,3,0,1,putter
4,firefly,innova,2,3,0,1,putter
5,yeti aviar,innova,2,3,0,1,putter
6,jk aviar,innova,2,3,0,2,putter
7,kc aviar,innova,2,3,0,2,putter
8,rhyno,innova,2,1,0,3,putter
9,dart,innova,3,4,0,0,putter
10,colt,innova,3,4,-1,1,putter
11,invader,innova,3,2,0,1,putter
12,aviar3,innova,3,2,0,2,putter
13,pig,innova,3,1,0,3,putter
14,aviarx3,innova,3,2,0,3,putter
15,mako,innova,4,5,0,0,mid
16,shark,innova,4,4,0,2,mid
17,roc,innova,4,4,0,3,mid
18,mako3,innova,5,5,0,0,mid
19,lion,innova,5,4,0,2,mid
20,roc3,innova,5,4,0,3,mid
21,gator,innova,5,2,0,4,mid
22,leopard,innova,6,5,-2,1,fairway
23,leopard3,innova,7,5,-2,1,fairway
24,tl,innova,7,5,-1,1,fairway
25,teebird,innova,7,5,0,2,fairway
26,eagle,innova,7,4,-1,3,fairway
27,tl3,innova,8,4,-1,1,fairway
28,teebird3,innova,8,4,0,2,fairway
29,roadrunner,innova,9,5,-4,1,distance
30,sidewinder,innova,9,5,-3,1,distance
31,valkyrie,innova,9,4,-2,2,distance
32,thunderbird,innova,9,5,0,2,distance
33,firebird,innova,9,3,0,4,distance
34,beast,innova,10,5,-2,2,distance
35,wraith,innova,11,5,-1,3,distance
36,tern,innova,12,6,-3,2,distance
37,groove,innova,12,6,-2,2,distance
38,katana,innova,12,5,-3,3,distance
39,destroyer,innova,12,5,-1,3,distance
40,xcaliber,innova,12,5,0,4,distance
41,shryke,innova,13,6,-2,2,distance
42,corvette,innova,14,6,-1,2,distance
